Date,Open,High,Low,Close,Volume
2020-01-31 00:00:00+00:00,155.3201375161448,159.4427760954826,152.11343531454764,156.97271753126574,10579884899.0
2020-02-29 00:00:00+00:00,237.37725303912984,245.45398791082974,229.15155555462016,238.75628662109375,19934223491.24138
2020-03-31 00:00:00+00:00,163.23509339363343,169.511595941359,154.01252623527282,160.37624285298008,16094239176.064516
2020-04-30 00:00:00+00:00,169.48821309407552,175.95658060709636,166.0185740152995,171.94698944091797,17738629018.9
2020-05-31 00:00:00+00:00,207.3467554892263,212.5020761797505,202.58746288668723,208.12585498440652,16309460893.419355
2020-06-30 00:00:00+00:00,236.26840260823568,240.17273864746093,231.52889404296874,236.1592290242513,8407357471.866667
2020-07-31 00:00:00+00:00,255.5544940579322,262.6953351420741,252.1905517578125,259.4055421890751,8110707967.5161295
2020-08-31 00:00:00+00:00,399.3261472640499,411.35892117408014,388.7123856083039,402.1534817603327,12068477313.548388
2020-09-30 00:00:00+00:00,370.88319803873696,381.87242838541664,354.4696818033854,368.37303466796874,17278479297.633335
2020-10-31 00:00:00+00:00,375.3625754079511,383.2935318485383,367.99295437720514,376.2223894673009,13443522447.516129
2020-11-30 00:00:00+00:00,478.6966888427734,496.7471537272135,464.7141367594401,486.14451395670574,16249212934.833334
2020-12-31 00:00:00+00:00,618.5372826360887,637.7464579920614,599.6721132339969,622.4884308845766,15183012810.516129
2021-01-31 00:00:00+00:00,1184.997552687122,1259.2253890498991,1109.896722608997,1202.5028017105594,38117556008.41936
2021-02-28 00:00:00+00:00,1696.234375,1762.362025669643,1611.841108049665,1699.8089207240514,35989930218.60714
2021-03-31 00:00:00+00:00,1720.5266546433973,1779.4529753654233,1667.3760316910282,1736.8622219947076,23575232874.935482
2021-04-30 00:00:00+00:00,2269.130293782552,2358.5934122721355,2188.690779622396,2297.67275390625,33177806829.366665
2021-05-31 00:00:00+00:00,3142.513687626008,3342.987060546875,2894.2489131804437,3140.730760143649,48720315677.870964
2021-06-30 00:00:00+00:00,2349.5907999674478,2436.047672526042,2230.2216593424478,2335.7923909505207,27117437232.766666
2021-07-31 00:00:00+00:00,2122.4661943989418,2192.6512490549394,2055.3941926033267,2131.0803616431454,19088352805.096775
2021-08-31 00:00:00+00:00,3069.7086299773187,3177.251283707157,2980.1040275327623,3098.3849388860885,22677621028.51613
2021-09-30 00:00:00+00:00,3349.54501953125,3459.9262451171876,3199.575691731771,3337.052685546875,21799496991.733334
2021-10-31 00:00:00+00:00,3776.9297977570563,3903.784376575101,3690.589402721774,3818.7679955267135,18541885981.387096
2021-11-30 00:00:00+00:00,4432.402661132813,4560.79931640625,4299.342513020833,4434.1287109375,19118225865.1
2021-12-31 00:00:00+00:00,4078.9550072454635,4167.835819367439,3919.5414015246974,4044.742478893649,20033613673.870968
2022-01-31 00:00:00+00:00,3086.8630764868954,3156.2998991935483,2961.776674332157,3054.6551001764115,15842211500.129032
2022-02-28 00:00:00+00:00,2859.761945452009,2952.7996913364955,2767.3175310407364,2868.178972516741,14862980354.928572
2022-03-31 00:00:00+00:00,2864.6217395413305,2940.165787235383,2810.5158927671373,2876.3423402847784,14092014534.161291
2022-04-30 00:00:00+00:00,3115.222517903646,3170.928776041667,3041.3389973958333,3096.9862711588544,16460881398.533333
2022-05-31 00:00:00+00:00,2213.5577116935483,2272.1415070564517,2123.3609343497983,2187.318914598034,20524876628.80645
2022-06-30 00:00:00+00:00,1411.869230143229,1445.6269653320312,1333.752079264323,1382.772275797526,18734422298.8
2022-07-31 00:00:00+00:00,1339.623810798891,1397.6329896988407,1299.1089654737902,1359.4077778477822,17240565020.741936
2022-08-31 00:00:00+00:00,1703.3478137600807,1753.7521854523688,1653.1712449596773,1699.2303703061996,17876218881.16129
2022-09-30 00:00:00+00:00,1491.5048828125,1528.9511840820312,1443.93095703125,1484.2294555664062,16555076527.533333
2022-10-31 00:00:00+00:00,1359.6797426285282,1390.4133576423892,1338.1975845829134,1367.6156202746977,12324891710.64516
2022-11-30 00:00:00+00:00,1307.1221069335938,1341.2269897460938,1262.8682373046875,1297.9301839192708,14059930190.566668
2022-12-31 00:00:00+00:00,1240.2943942162299,1255.0388656123991,1221.3421473349295,1237.1058900894657,5197762579.67742
2023-01-31 00:00:00+00:00,1454.9137632308468,1486.6017357610888,1434.767790763609,1466.9500259891634,7256546913.354838
2023-02-28 00:00:00+00:00,1623.9197649274554,1654.2768729073662,1595.1754063197545,1624.6056300571986,7991047971.25
2023-03-31 00:00:00+00:00,1668.4888364730343,1712.6532573084678,1635.3928773941532,1675.3578510899697,9757034221.806452
2023-04-30 00:00:00+00:00,1915.151611328125,1951.5634521484376,1881.88251953125,1916.9346516927083,9239325409.933332
2023-05-31 00:00:00+00:00,1845.3061956590223,1871.217025264617,1815.3505741242438,1845.6263782132057,6526650521.709678
2023-06-30 00:00:00+00:00,1816.6079142252604,1849.5910400390626,1788.3933390299478,1818.7055786132812,6873137746.533334
2023-07-31 00:00:00+00:00,1895.858863092238,1917.588898689516,1873.4744597404233,1893.3452896610384,5728925174.129032
2023-08-31 00:00:00+00:00,1763.7449754284273,1778.5729035408267,1734.8666598412299,1756.9781572895665,5441238168.67742
2023-09-30 00:00:00+00:00,1620.422725423177,1639.3633341471354,1603.883182779948,1621.299198404948,4492728912.333333
2023-10-31 00:00:00+00:00,1655.7149303805443,1684.3055301789313,1634.4105421496977,1660.0235083795362,6214931517.774194
2023-11-30 00:00:00+00:00,1981.0639607747396,2022.3910196940103,1946.5558512369792,1989.1270100911458,10527485562.933332
2023-12-31 00:00:00+00:00,2254.4222766507055,2304.370085685484,2212.894070533014,2261.748960433468,11343725465.387096
2024-01-31 00:00:00+00:00,2375.056199596774,2425.980500252016,2319.1299773185483,2374.8583590599796,11787411050.096775
2024-02-29 00:00:00+00:00,2710.419644059806,2782.6548693426726,2674.506170864763,2746.7850973195045,15013864400.793104
2024-03-31 00:00:00+00:00,3618.246062247984,3724.6234564012098,3499.873094128024,3627.963315902218,21616295685.451614
2024-04-30 00:00:00+00:00,3267.7107666015627,3342.017195638021,3147.802742513021,3246.560026041667,16022626529.866667
2024-05-31 00:00:00+00:00,3282.8875299269152,3372.395720451109,3218.5011655745966,3307.055908203125,15958474113.225807
2024-06-30 00:00:00+00:00,3577.799210611979,3625.194759114583,3511.104052734375,3566.9577880859374,13393582490.7
