date,GTrends_BTC,GTrends_ETH
2022-10-17,25,5
2022-10-18,25,5
2022-10-19,25,5
2022-10-20,25,5
2022-10-21,25,5
2022-10-22,25,5
2022-10-23,26,6
2022-10-24,26,6
2022-10-25,26,6
2022-10-26,26,6
2022-10-27,26,6
2022-10-28,26,6
2022-10-29,26,6
2022-10-30,25,6
2022-10-31,25,6
2022-11-01,25,6
2022-11-02,25,6
2022-11-03,25,6
2022-11-04,25,6
2022-11-05,25,6
2022-11-06,50,8
2022-11-07,50,8
2022-11-08,50,8
2022-11-09,50,8
2022-11-10,50,8
2022-11-11,50,8
2022-11-12,50,8
2022-11-13,45,7
2022-11-14,45,7
2022-11-15,45,7
2022-11-16,45,7
2022-11-17,45,7
2022-11-18,45,7
2022-11-19,45,7
2022-11-20,33,6
2022-11-21,33,6
2022-11-22,33,6
2022-11-23,33,6
2022-11-24,33,6
2022-11-25,33,6
2022-11-26,33,6
2022-11-27,30,5
2022-11-28,30,5
2022-11-29,30,5
2022-11-30,30,5
2022-12-01,30,5
2022-12-02,30,5
2022-12-03,30,5
2022-12-04,28,4
2022-12-05,28,4
2022-12-06,28,4
2022-12-07,28,4
2022-12-08,28,4
2022-12-09,28,4
2022-12-10,28,4
2022-12-11,29,5
2022-12-12,29,5
2022-12-13,29,5
2022-12-14,29,5
2022-12-15,29,5
2022-12-16,29,5
2022-12-17,29,5
2022-12-18,26,5
2022-12-19,26,5
2022-12-20,26,5
2022-12-21,26,5
2022-12-22,26,5
2022-12-23,26,5
2022-12-24,26,5
2022-12-25,25,4
2022-12-26,25,4
2022-12-27,25,4
2022-12-28,25,4
2022-12-29,25,4
2022-12-30,25,4
2022-12-31,25,4
2023-01-01,26,4
2023-01-02,26,4
2023-01-03,26,4
2023-01-04,26,4
2023-01-05,26,4
2023-01-06,26,4
2023-01-07,26,4
2023-01-08,29,6
2023-01-09,29,6
2023-01-10,29,6
2023-01-11,29,6
2023-01-12,29,6
2023-01-13,29,6
2023-01-14,29,6
2023-01-15,36,7
2023-01-16,36,7
2023-01-17,36,7
2023-01-18,36,7
2023-01-19,36,7
2023-01-20,36,7
2023-01-21,36,7
2023-01-22,34,5
2023-01-23,34,5
2023-01-24,34,5
2023-01-25,34,5
2023-01-26,34,5
2023-01-27,34,5
2023-01-28,34,5
2023-01-29,32,5
2023-01-30,32,5
2023-01-31,32,5
2023-02-01,32,5
2023-02-02,32,5
2023-02-03,32,5
2023-02-04,32,5
2023-02-05,28,5
2023-02-06,28,5
2023-02-07,28,5
2023-02-08,28,5
2023-02-09,28,5
2023-02-10,28,5
2023-02-11,28,5
2023-02-12,29,5
2023-02-13,29,5
2023-02-14,29,5
2023-02-15,29,5
2023-02-16,29,5
2023-02-17,29,5
2023-02-18,29,5
2023-02-19,29,5
2023-02-20,29,5
2023-02-21,29,5
2023-02-22,29,5
2023-02-23,29,5
2023-02-24,29,5
2023-02-25,29,5
2023-02-26,27,4
2023-02-27,27,4
2023-02-28,27,4
2023-03-01,27,4
2023-03-02,27,4
2023-03-03,27,4
2023-03-04,27,4
2023-03-05,29,4
2023-03-06,29,4
2023-03-07,29,4
2023-03-08,29,4
2023-03-09,29,4
2023-03-10,29,4
2023-03-11,29,4
2023-03-12,38,6
2023-03-13,38,6
2023-03-14,38,6
2023-03-15,38,6
2023-03-16,38,6
2023-03-17,38,6
2023-03-18,38,6
2023-03-19,40,6
2023-03-20,40,6
2023-03-21,40,6
2023-03-22,40,6
2023-03-23,40,6
2023-03-24,40,6
2023-03-25,40,6
2023-03-26,34,5
2023-03-27,34,5
2023-03-28,34,5
2023-03-29,34,5
2023-03-30,34,5
2023-03-31,34,5
2023-04-01,34,5
2023-04-02,31,5
2023-04-03,31,5
2023-04-04,31,5
2023-04-05,31,5
2023-04-06,31,5
2023-04-07,31,5
2023-04-08,31,5
2023-04-09,35,7
2023-04-10,35,7
2023-04-11,35,7
2023-04-12,35,7
2023-04-13,35,7
2023-04-14,35,7
2023-04-15,35,7
2023-04-16,32,6
2023-04-17,32,6
2023-04-18,32,6
2023-04-19,32,6
2023-04-20,32,6
2023-04-21,32,6
2023-04-22,32,6
2023-04-23,30,5
2023-04-24,30,5
2023-04-25,30,5
2023-04-26,30,5
2023-04-27,30,5
2023-04-28,30,5
2023-04-29,30,5
2023-04-30,29,4
2023-05-01,29,4
2023-05-02,29,4
2023-05-03,29,4
2023-05-04,29,4
2023-05-05,29,4
2023-05-06,29,4
2023-05-07,29,4
2023-05-08,29,4
2023-05-09,29,4
2023-05-10,29,4
2023-05-11,29,4
2023-05-12,29,4
2023-05-13,29,4
2023-05-14,25,4
2023-05-15,25,4
2023-05-16,25,4
2023-05-17,25,4
2023-05-18,25,4
2023-05-19,25,4
2023-05-20,25,4
2023-05-21,25,4
2023-05-22,25,4
2023-05-23,25,4
2023-05-24,25,4
2023-05-25,25,4
2023-05-26,25,4
2023-05-27,25,4
2023-05-28,25,4
2023-05-29,25,4
2023-05-30,25,4
2023-05-31,25,4
2023-06-01,25,4
2023-06-02,25,4
2023-06-03,25,4
2023-06-04,27,4
2023-06-05,27,4
2023-06-06,27,4
2023-06-07,27,4
2023-06-08,27,4
2023-06-09,27,4
2023-06-10,27,4
2023-06-11,26,4
2023-06-12,26,4
2023-06-13,26,4
2023-06-14,26,4
2023-06-15,26,4
2023-06-16,26,4
2023-06-17,26,4
2023-06-18,32,4
2023-06-19,32,4
2023-06-20,32,4
2023-06-21,32,4
2023-06-22,32,4
2023-06-23,32,4
2023-06-24,32,4
2023-06-25,30,4
2023-06-26,30,4
2023-06-27,30,4
2023-06-28,30,4
2023-06-29,30,4
2023-06-30,30,4
2023-07-01,30,4
2023-07-02,30,4
2023-07-03,30,4
2023-07-04,30,4
2023-07-05,30,4
2023-07-06,30,4
2023-07-07,30,4
2023-07-08,30,4
2023-07-09,29,4
2023-07-10,29,4
2023-07-11,29,4
2023-07-12,29,4
2023-07-13,29,4
2023-07-14,29,4
2023-07-15,29,4
2023-07-16,28,4
2023-07-17,28,4
2023-07-18,28,4
2023-07-19,28,4
2023-07-20,28,4
2023-07-21,28,4
2023-07-22,28,4
2023-07-23,27,3
2023-07-24,27,3
2023-07-25,27,3
2023-07-26,27,3
2023-07-27,27,3
2023-07-28,27,3
2023-07-29,27,3
2023-07-30,25,3
2023-07-31,25,3
2023-08-01,25,3
2023-08-02,25,3
2023-08-03,25,3
2023-08-04,25,3
2023-08-05,25,3
2023-08-06,26,3
