date,GTrends_BTC,GTrends_ETH
2022-01-01,47,12
2022-01-02,61,16
2022-01-03,61,16
2022-01-04,61,16
2022-01-05,61,16
2022-01-06,61,16
2022-01-07,61,16
2022-01-08,61,16
2022-01-09,56,15
2022-01-10,56,15
2022-01-11,56,15
2022-01-12,56,15
2022-01-13,56,15
2022-01-14,56,15
2022-01-15,56,15
2022-01-16,60,15
2022-01-17,60,15
2022-01-18,60,15
2022-01-19,60,15
2022-01-20,60,15
2022-01-21,60,15
2022-01-22,60,15
2022-01-23,78,18
2022-01-24,78,18
2022-01-25,78,18
2022-01-26,78,18
2022-01-27,78,18
2022-01-28,78,18
2022-01-29,78,18
2022-01-30,60,14
2022-01-31,60,14
2022-02-01,60,14
2022-02-02,60,14
2022-02-03,60,14
2022-02-04,60,14
2022-02-05,60,14
2022-02-06,58,14
2022-02-07,58,14
2022-02-08,58,14
2022-02-09,58,14
2022-02-10,58,14
2022-02-11,58,14
2022-02-12,58,14
2022-02-13,48,12
2022-02-14,48,12
2022-02-15,48,12
2022-02-16,48,12
2022-02-17,48,12
2022-02-18,48,12
2022-02-19,48,12
2022-02-20,61,13
2022-02-21,61,13
2022-02-22,61,13
2022-02-23,61,13
2022-02-24,61,13
2022-02-25,61,13
2022-02-26,61,13
2022-02-27,55,11
2022-02-28,55,11
2022-03-01,55,11
2022-03-02,55,11
2022-03-03,55,11
2022-03-04,55,11
2022-03-05,55,11
2022-03-06,49,10
2022-03-07,49,10
2022-03-08,49,10
2022-03-09,49,10
2022-03-10,49,10
2022-03-11,49,10
2022-03-12,49,10
2022-03-13,43,10
2022-03-14,43,10
2022-03-15,43,10
2022-03-16,43,10
2022-03-17,43,10
2022-03-18,43,10
2022-03-19,43,10
2022-03-20,41,10
2022-03-21,41,10
2022-03-22,41,10
2022-03-23,41,10
2022-03-24,41,10
2022-03-25,41,10
2022-03-26,41,10
2022-03-27,45,11
2022-03-28,45,11
2022-03-29,45,11
2022-03-30,45,11
2022-03-31,45,11
2022-04-01,45,11
2022-04-02,45,11
2022-04-03,39,10
2022-04-04,39,10
2022-04-05,39,10
2022-04-06,39,10
2022-04-07,39,10
2022-04-08,39,10
2022-04-09,39,10
2022-04-10,38,9
2022-04-11,38,9
2022-04-12,38,9
2022-04-13,38,9
2022-04-14,38,9
2022-04-15,38,9
2022-04-16,38,9
2022-04-17,33,8
2022-04-18,33,8
2022-04-19,33,8
2022-04-20,33,8
2022-04-21,33,8
2022-04-22,33,8
2022-04-23,33,8
2022-04-24,36,8
2022-04-25,36,8
2022-04-26,36,8
2022-04-27,36,8
2022-04-28,36,8
2022-04-29,36,8
2022-04-30,36,8
2022-05-01,39,8
2022-05-02,39,8
2022-05-03,39,8
2022-05-04,39,8
2022-05-05,39,8
2022-05-06,39,8
2022-05-07,39,8
2022-05-08,86,13
2022-05-09,86,13
2022-05-10,86,13
2022-05-11,86,13
2022-05-12,86,13
2022-05-13,86,13
2022-05-14,86,13
2022-05-15,57,9
2022-05-16,57,9
2022-05-17,57,9
2022-05-18,57,9
2022-05-19,57,9
2022-05-20,57,9
2022-05-21,57,9
2022-05-22,45,8
2022-05-23,45,8
2022-05-24,45,8
2022-05-25,45,8
2022-05-26,45,8
2022-05-27,45,8
2022-05-28,45,8
2022-05-29,39,8
2022-05-30,39,8
2022-05-31,39,8
2022-06-01,39,8
2022-06-02,39,8
2022-06-03,39,8
2022-06-04,39,8
2022-06-05,37,8
2022-06-06,37,8
2022-06-07,37,8
2022-06-08,37,8
2022-06-09,37,8
2022-06-10,37,8
2022-06-11,37,8
2022-06-12,100,18
2022-06-13,100,18
2022-06-14,100,18
2022-06-15,100,18
2022-06-16,100,18
2022-06-17,100,18
2022-06-18,100,18
2022-06-19,77,13
2022-06-20,77,13
2022-06-21,77,13
2022-06-22,77,13
2022-06-23,77,13
2022-06-24,77,13
2022-06-25,77,13
2022-06-26,54,10
2022-06-27,54,10
2022-06-28,54,10
2022-06-29,54,10
2022-06-30,54,10
2022-07-01,54,10
2022-07-02,54,10
2022-07-03,50,8
2022-07-04,50,8
2022-07-05,50,8
